project_tier,source,year,model,trim,title,price_usd,current_bid_usd,mileage,title_status,drivable,location,seller_type,vin,listing_id,source_url,photo_url,first_seen
salvage,copart,2022,911,,Clean Title 2022 Porsche 911 Turbo Tx Dallas,,,,salvage,,,salvage_auction,,clean-title-2022-porsche-911-turbo-tx-dallas,https://www.copart.com/lot/78606545/clean-title-2022-porsche-911-turbo-tx-dallas,,2026-05-14 02:57:22.699064+00:00
salvage,copart,2021,911,,2021 Porsche 911 Turbo Ny Long Island,,,,salvage,,,salvage_auction,,2021-porsche-911-turbo-ny-long-island,https://www.copart.com/lot/78532565/2021-porsche-911-turbo-ny-long-island,,2026-05-14 02:57:22.699072+00:00
salvage,copart,2019,911,,2019 Porsche 911 Turbo Nj Trenton,,,,salvage,,,salvage_auction,,2019-porsche-911-turbo-nj-trenton,https://www.copart.com/lot/78531825/2019-porsche-911-turbo-nj-trenton,,2026-05-14 02:57:22.699080+00:00
salvage,copart,2022,911,,2022 Porsche 911 Carrera S Nv Las Vegas West,,,,salvage,,,salvage_auction,,2022-porsche-911-carrera-s-nv-las-vegas-west,https://www.copart.com/lot/78486915/2022-porsche-911-carrera-s-nv-las-vegas-west,,2026-05-14 02:57:22.699087+00:00
salvage,copart,2019,Cayman,,2019 Porsche Cayman S Ca Rancho Cucamonga,,,,salvage,,,salvage_auction,,2019-porsche-cayman-s-ca-rancho-cucamonga,https://www.copart.com/lot/53372515/2019-porsche-cayman-s-ca-rancho-cucamonga,,2026-05-14 02:57:22.699095+00:00
salvage,copart,2020,Cayman,,2020 Porsche Cayman Gt4 Pa Philadelphia,,,,salvage,,,salvage_auction,,salvage-2020-porsche-cayman-gt4-pa-philadelphia,https://www.copart.com/lot/65111355/salvage-2020-porsche-cayman-gt4-pa-philadelphia,,2026-05-14 02:57:22.699102+00:00
salvage,copart,2018,Cayman,,2018 Porsche Cayman S Sc North Charleston,,,,salvage,,,salvage_auction,,2018-porsche-cayman-s-sc-north-charleston,https://www.copart.com/lot/53308686/2018-porsche-cayman-s-sc-north-charleston,,2026-05-14 02:57:22.699109+00:00
salvage,copart,2016,Cayman,,2016 Porsche Cayman Gts Ny Newburgh,,,,salvage,,,salvage_auction,,2016-porsche-cayman-gts-ny-newburgh,https://www.copart.com/lot/53161356/2016-porsche-cayman-gts-ny-newburgh,,2026-05-14 02:57:22.699116+00:00
salvage,copart,2018,Cayman,,Clean Title 2018 Porsche Cayman Ca Van Nuys,,,,salvage,,,salvage_auction,,clean-title-2018-porsche-cayman-ca-van-nuys,https://www.copart.com/lot/53064366/clean-title-2018-porsche-cayman-ca-van-nuys,,2026-05-14 02:57:22.699123+00:00
salvage,copart,2022,Cayman,,2022 Porsche Cayman Gt4 Ny Newburgh,,,,salvage,,,salvage_auction,,2022-porsche-cayman-gt4-ny-newburgh,https://www.copart.com/lot/51987996/2022-porsche-cayman-gt4-ny-newburgh,,2026-05-14 02:57:22.699131+00:00
salvage,copart,2019,Cayman,,2019 Porsche Cayman S Ca Napa,,,,salvage,,,salvage_auction,,salvage-2019-porsche-cayman-s-ca-napa,https://www.copart.com/lot/51879726/salvage-2019-porsche-cayman-s-ca-napa,,2026-05-14 02:57:22.699137+00:00
salvage,copart,2022,Cayman,,2022 Porsche Cayman S Fl Clewiston,,,,salvage,,,salvage_auction,,2022-porsche-cayman-s-fl-clewiston,https://www.copart.com/lot/51776836/2022-porsche-cayman-s-fl-clewiston,,2026-05-14 02:57:22.699146+00:00
salvage,copart,2021,Cayman,,2021 Porsche Cayman S Ga Atlanta West,,,,salvage,,,salvage_auction,,2021-porsche-cayman-s-ga-atlanta-west,https://www.copart.com/lot/51060166/2021-porsche-cayman-s-ga-atlanta-west,,2026-05-14 02:57:22.699153+00:00
salvage,copart,2014,Cayman,,2014 Porsche Cayman Nv Las Vegas West,,,,salvage,,,salvage_auction,,2014-porsche-cayman-nv-las-vegas-west,https://www.copart.com/lot/50948956/2014-porsche-cayman-nv-las-vegas-west,,2026-05-14 02:57:22.699160+00:00
salvage,copart,2018,Cayman,,2018 Porsche Cayman Ut Salt Lake City,,,,salvage,,,salvage_auction,,2018-porsche-cayman-ut-salt-lake-city,https://www.copart.com/lot/49645216/2018-porsche-cayman-ut-salt-lake-city,,2026-05-14 02:57:22.699167+00:00
salvage,copart,2024,Boxster,,2024 Porsche Boxster S Ks Wichita,,,,salvage,,,salvage_auction,,2024-porsche-boxster-s-ks-wichita,https://www.copart.com/lot/71221285/2024-porsche-boxster-s-ks-wichita,,2026-05-14 02:57:22.699174+00:00
salvage,copart,2017,Boxster,,2017 Porsche Boxster Tn Knoxville,,,,salvage,,,salvage_auction,,2017-porsche-boxster-tn-knoxville,https://www.copart.com/lot/53268296/2017-porsche-boxster-tn-knoxville,,2026-05-14 02:57:22.699181+00:00
salvage,copart,2015,911,TURBO,2015 Porsche 911 TURBO,,,116024,salvage,,NJ - GLASSBORO WEST,salvage_auction,WP0AD2A92FS******,WP0AD2A92FS******,https://www.copart.com/lot/74494825,,2026-05-14 03:32:58.596959+00:00
salvage,copart,2021,911,CARRERA,2021 Porsche 911 CARRERA,,,15175,salvage,,CA - SUN VALLEY,salvage_auction,WP0CA2A93MS******,WP0CA2A93MS******,https://www.copart.com/lot/51148266,,2026-05-14 03:32:58.596995+00:00
salvage,copart,2019,CAYMAN,S,2019 Porsche CAYMAN S,,,45466,salvage,,CA - NAPA,salvage_auction,WP0AB2A80KS******,WP0AB2A80KS******,https://www.copart.com/lot/51879726,,2026-05-14 03:32:58.597300+00:00
salvage,copart,2017,BOXSTER,,2017 Porsche BOXSTER,,,54116,salvage,,CA - LOS ANGELES,salvage_auction,WP0CA2A80HS******,WP0CA2A80HS******,https://www.copart.com/lot/52084496,,2026-05-14 03:32:58.597445+00:00
